date,store,menu,sales,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Holiday,담하,미라시아,느티나무 셀프BBQ,라그로타,연회장,카페테리아,포레스트릿,화담숲주막,화담숲카페
2023-02-16,느티나무 셀프BBQ,1인 수저세트,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-02-17,느티나무 셀프BBQ,1인 수저세트,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2023-02-18,느티나무 셀프BBQ,1인 수저세트,9,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2023-02-19,느티나무 셀프BBQ,1인 수저세트,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2023-02-20,느티나무 셀프BBQ,1인 수저세트,10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-02-21,느티나무 셀프BBQ,1인 수저세트,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-02-22,느티나무 셀프BBQ,1인 수저세트,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-02-23,느티나무 셀프BBQ,1인 수저세트,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-02-24,느티나무 셀프BBQ,1인 수저세트,8,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2023-02-25,느티나무 셀프BBQ,1인 수저세트,7,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2023-02-26,느티나무 셀프BBQ,1인 수저세트,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2023-02-27,느티나무 셀프BBQ,1인 수저세트,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-02-28,느티나무 셀프BBQ,1인 수저세트,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-03-01,느티나무 셀프BBQ,1인 수저세트,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2023-03-02,느티나무 셀프BBQ,1인 수저세트,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-03-03,느티나무 셀프BBQ,1인 수저세트,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2023-03-04,느티나무 셀프BBQ,1인 수저세트,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2023-03-05,느티나무 셀프BBQ,1인 수저세트,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2023-03-06,느티나무 셀프BBQ,1인 수저세트,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-03-07,느티나무 셀프BBQ,1인 수저세트,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-03-08,느티나무 셀프BBQ,1인 수저세트,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-03-09,느티나무 셀프BBQ,1인 수저세트,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-03-10,느티나무 셀프BBQ,1인 수저세트,6,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2023-03-11,느티나무 셀프BBQ,1인 수저세트,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2023-03-12,느티나무 셀프BBQ,1인 수저세트,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2023-03-13,느티나무 셀프BBQ,1인 수저세트,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-03-14,느티나무 셀프BBQ,1인 수저세트,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-03-15,느티나무 셀프BBQ,1인 수저세트,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-03-16,느티나무 셀프BBQ,1인 수저세트,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-03-17,느티나무 셀프BBQ,1인 수저세트,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2023-03-18,느티나무 셀프BBQ,1인 수저세트,22,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2023-03-19,느티나무 셀프BBQ,1인 수저세트,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2023-03-20,느티나무 셀프BBQ,1인 수저세트,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-03-21,느티나무 셀프BBQ,1인 수저세트,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-03-22,느티나무 셀프BBQ,1인 수저세트,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-03-23,느티나무 셀프BBQ,1인 수저세트,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-03-24,느티나무 셀프BBQ,1인 수저세트,9,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2023-03-25,느티나무 셀프BBQ,1인 수저세트,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2023-03-26,느티나무 셀프BBQ,1인 수저세트,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2023-03-27,느티나무 셀프BBQ,1인 수저세트,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-03-28,느티나무 셀프BBQ,1인 수저세트,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-03-29,느티나무 셀프BBQ,1인 수저세트,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-03-30,느티나무 셀프BBQ,1인 수저세트,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-03-31,느티나무 셀프BBQ,1인 수저세트,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2023-04-01,느티나무 셀프BBQ,1인 수저세트,15,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2023-04-02,느티나무 셀프BBQ,1인 수저세트,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2023-04-03,느티나무 셀프BBQ,1인 수저세트,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-04-04,느티나무 셀프BBQ,1인 수저세트,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-04-05,느티나무 셀프BBQ,1인 수저세트,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-04-06,느티나무 셀프BBQ,1인 수저세트,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-04-07,느티나무 셀프BBQ,1인 수저세트,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2023-04-08,느티나무 셀프BBQ,1인 수저세트,6,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2023-04-09,느티나무 셀프BBQ,1인 수저세트,9,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2023-04-10,느티나무 셀프BBQ,1인 수저세트,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-04-11,느티나무 셀프BBQ,1인 수저세트,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-04-12,느티나무 셀프BBQ,1인 수저세트,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-04-13,느티나무 셀프BBQ,1인 수저세트,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-04-14,느티나무 셀프BBQ,1인 수저세트,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2023-04-15,느티나무 셀프BBQ,1인 수저세트,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2023-04-16,느티나무 셀프BBQ,1인 수저세트,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2023-04-17,느티나무 셀프BBQ,1인 수저세트,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-04-18,느티나무 셀프BBQ,1인 수저세트,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-04-19,느티나무 셀프BBQ,1인 수저세트,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-04-20,느티나무 셀프BBQ,1인 수저세트,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-04-21,느티나무 셀프BBQ,1인 수저세트,8,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2023-04-22,느티나무 셀프BBQ,1인 수저세트,5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2023-04-23,느티나무 셀프BBQ,1인 수저세트,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2023-04-24,느티나무 셀프BBQ,1인 수저세트,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-04-25,느티나무 셀프BBQ,1인 수저세트,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-04-26,느티나무 셀프BBQ,1인 수저세트,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-04-27,느티나무 셀프BBQ,1인 수저세트,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-04-28,느티나무 셀프BBQ,1인 수저세트,16,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2023-04-29,느티나무 셀프BBQ,1인 수저세트,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2023-04-30,느티나무 셀프BBQ,1인 수저세트,10,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2023-05-01,느티나무 셀프BBQ,1인 수저세트,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-05-02,느티나무 셀프BBQ,1인 수저세트,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-05-03,느티나무 셀프BBQ,1인 수저세트,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-05-04,느티나무 셀프BBQ,1인 수저세트,12,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-05-05,느티나무 셀프BBQ,1인 수저세트,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
2023-05-06,느티나무 셀프BBQ,1인 수저세트,22,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2023-05-07,느티나무 셀프BBQ,1인 수저세트,12,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2023-05-08,느티나무 셀프BBQ,1인 수저세트,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-05-09,느티나무 셀프BBQ,1인 수저세트,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-05-10,느티나무 셀프BBQ,1인 수저세트,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-05-11,느티나무 셀프BBQ,1인 수저세트,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-05-12,느티나무 셀프BBQ,1인 수저세트,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2023-05-13,느티나무 셀프BBQ,1인 수저세트,16,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2023-05-14,느티나무 셀프BBQ,1인 수저세트,7,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2023-05-15,느티나무 셀프BBQ,1인 수저세트,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-05-16,느티나무 셀프BBQ,1인 수저세트,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-05-17,느티나무 셀프BBQ,1인 수저세트,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-05-18,느티나무 셀프BBQ,1인 수저세트,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-05-19,느티나무 셀프BBQ,1인 수저세트,12,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2023-05-20,느티나무 셀프BBQ,1인 수저세트,22,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2023-05-21,느티나무 셀프BBQ,1인 수저세트,8,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2023-05-22,느티나무 셀프BBQ,1인 수저세트,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-05-23,느티나무 셀프BBQ,1인 수저세트,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-05-24,느티나무 셀프BBQ,1인 수저세트,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-05-25,느티나무 셀프BBQ,1인 수저세트,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-05-26,느티나무 셀프BBQ,1인 수저세트,7,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2023-05-27,느티나무 셀프BBQ,1인 수저세트,5,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
2023-05-28,느티나무 셀프BBQ,1인 수저세트,6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2023-05-29,느티나무 셀프BBQ,1인 수저세트,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2023-05-30,느티나무 셀프BBQ,1인 수저세트,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-05-31,느티나무 셀프BBQ,1인 수저세트,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-06-01,느티나무 셀프BBQ,1인 수저세트,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-06-02,느티나무 셀프BBQ,1인 수저세트,16,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2023-06-03,느티나무 셀프BBQ,1인 수저세트,10,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2023-06-04,느티나무 셀프BBQ,1인 수저세트,10,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2023-06-05,느티나무 셀프BBQ,1인 수저세트,16,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-06-06,느티나무 셀프BBQ,1인 수저세트,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2023-06-07,느티나무 셀프BBQ,1인 수저세트,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-06-08,느티나무 셀프BBQ,1인 수저세트,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-06-09,느티나무 셀프BBQ,1인 수저세트,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2023-06-10,느티나무 셀프BBQ,1인 수저세트,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2023-06-11,느티나무 셀프BBQ,1인 수저세트,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2023-06-12,느티나무 셀프BBQ,1인 수저세트,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-06-13,느티나무 셀프BBQ,1인 수저세트,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-06-14,느티나무 셀프BBQ,1인 수저세트,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-06-15,느티나무 셀프BBQ,1인 수저세트,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-06-16,느티나무 셀프BBQ,1인 수저세트,9,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2023-06-17,느티나무 셀프BBQ,1인 수저세트,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2023-06-18,느티나무 셀프BBQ,1인 수저세트,8,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2023-06-19,느티나무 셀프BBQ,1인 수저세트,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-06-20,느티나무 셀프BBQ,1인 수저세트,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-06-21,느티나무 셀프BBQ,1인 수저세트,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-06-22,느티나무 셀프BBQ,1인 수저세트,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-06-23,느티나무 셀프BBQ,1인 수저세트,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2023-06-24,느티나무 셀프BBQ,1인 수저세트,29,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2023-06-25,느티나무 셀프BBQ,1인 수저세트,6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2023-06-26,느티나무 셀프BBQ,1인 수저세트,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-06-27,느티나무 셀프BBQ,1인 수저세트,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-06-28,느티나무 셀프BBQ,1인 수저세트,24,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-06-29,느티나무 셀프BBQ,1인 수저세트,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-06-30,느티나무 셀프BBQ,1인 수저세트,8,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2023-07-01,느티나무 셀프BBQ,1인 수저세트,15,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2023-07-02,느티나무 셀프BBQ,1인 수저세트,7,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2023-07-03,느티나무 셀프BBQ,1인 수저세트,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-07-04,느티나무 셀프BBQ,1인 수저세트,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-07-05,느티나무 셀프BBQ,1인 수저세트,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-07-06,느티나무 셀프BBQ,1인 수저세트,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-07-07,느티나무 셀프BBQ,1인 수저세트,19,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2023-07-08,느티나무 셀프BBQ,1인 수저세트,46,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2023-07-09,느티나무 셀프BBQ,1인 수저세트,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2023-07-10,느티나무 셀프BBQ,1인 수저세트,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-07-11,느티나무 셀프BBQ,1인 수저세트,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-07-12,느티나무 셀프BBQ,1인 수저세트,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-07-13,느티나무 셀프BBQ,1인 수저세트,10,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-07-14,느티나무 셀프BBQ,1인 수저세트,22,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2023-07-15,느티나무 셀프BBQ,1인 수저세트,15,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2023-07-16,느티나무 셀프BBQ,1인 수저세트,7,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2023-07-17,느티나무 셀프BBQ,1인 수저세트,14,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-07-18,느티나무 셀프BBQ,1인 수저세트,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-07-19,느티나무 셀프BBQ,1인 수저세트,12,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-07-20,느티나무 셀프BBQ,1인 수저세트,8,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-07-21,느티나무 셀프BBQ,1인 수저세트,16,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2023-07-22,느티나무 셀프BBQ,1인 수저세트,10,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2023-07-23,느티나무 셀프BBQ,1인 수저세트,15,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2023-07-24,느티나무 셀프BBQ,1인 수저세트,16,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-07-25,느티나무 셀프BBQ,1인 수저세트,10,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-07-26,느티나무 셀프BBQ,1인 수저세트,29,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-07-27,느티나무 셀프BBQ,1인 수저세트,13,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-07-28,느티나무 셀프BBQ,1인 수저세트,10,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2023-07-29,느티나무 셀프BBQ,1인 수저세트,9,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2023-07-30,느티나무 셀프BBQ,1인 수저세트,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2023-07-31,느티나무 셀프BBQ,1인 수저세트,18,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-08-01,느티나무 셀프BBQ,1인 수저세트,14,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-08-02,느티나무 셀프BBQ,1인 수저세트,9,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-08-03,느티나무 셀프BBQ,1인 수저세트,25,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
